Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,85.029999,85.180000,82.239998,83.419998,82.897255,4958400
2021-05-05,83.820000,84.278000,81.570000,82.089996,81.575584,3157400
2021-05-06,81.209999,81.400002,78.199997,79.839996,79.339684,6115400
2021-05-07,80.900002,83.059998,80.430000,80.870003,80.363235,3643300
2021-05-10,80.440002,80.449997,76.099998,76.129997,75.652939,7324500
2021-05-11,72.500000,77.879997,72.455002,76.930000,76.447922,7074000
2021-05-12,75.620003,76.934998,74.660004,74.989998,74.520081,4140600
2021-05-13,75.339996,76.620003,72.070000,73.639999,73.178543,5428200
2021-05-14,74.449997,77.019997,74.339996,76.559998,76.080238,3511600
2021-05-17,75.769997,76.830002,74.940002,76.389999,75.911308,2609700
2021-05-18,76.500000,79.669998,75.989998,77.900002,77.411850,3773700
2021-05-19,75.680000,77.180000,75.360001,76.470001,75.990807,4359500
2021-05-20,77.059998,79.428001,76.900002,78.769997,78.276390,3549200
2021-05-21,79.139999,79.980003,78.260002,78.370003,77.878906,2724500
2021-05-24,78.790001,79.839996,78.459999,79.040001,78.544701,1945500
2021-05-25,79.349998,80.419998,78.760002,79.480003,78.981949,2032400
2021-05-26,79.650002,80.889999,79.269997,80.830002,80.323486,2304500
2021-05-27,80.599998,81.389999,79.419998,81.330002,80.820351,2323500
2021-05-28,81.669998,84.050003,81.540001,81.750000,81.237724,2330600
2021-06-01,82.459999,82.489998,79.940002,81.300003,80.790543,2993900
2021-06-02,81.029999,81.919998,80.290001,81.070000,80.561981,2246800
2021-06-03,80.080002,80.949997,78.529999,79.180000,78.683823,2259700
2021-06-04,79.760002,81.019997,79.760002,80.290001,79.786873,1274600
2021-06-07,80.260002,83.930000,80.260002,83.150002,82.628952,4020600
2021-06-08,84.059998,84.690002,81.980003,83.970001,83.443810,2212200
2021-06-09,84.339996,85.989998,84.339996,85.010002,84.477295,3076700
2021-06-10,85.110001,87.550003,84.370003,87.309998,86.762878,4741800
2021-06-11,87.010002,87.580002,86.150002,86.930000,86.385262,2121400
2021-06-14,87.379997,88.250000,86.930000,87.589996,87.041122,2490000
2021-06-15,87.500000,87.500000,84.790001,85.550003,85.013908,3104100
2021-06-16,85.269997,85.910004,82.989998,85.019997,84.487228,2842500
2021-06-17,84.370003,87.709999,84.349998,87.160004,86.613823,4176000
2021-06-18,86.050003,87.389999,85.839996,86.620003,86.077209,3179300
2021-06-21,86.599998,87.900002,85.190002,87.419998,86.872185,2119600
2021-06-22,87.040001,87.830002,86.589996,87.680000,87.130562,2256200
2021-06-23,87.540001,88.879997,87.540001,88.519997,87.965294,1665500
2021-06-24,88.830002,90.349998,88.830002,89.620003,89.058403,3189000
