Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,81.070000,81.366997,79.510002,80.860001,80.223488,811300
2021-05-05,81.300003,81.489998,80.029999,80.190002,79.558762,514000
2021-05-06,80.000000,80.317001,78.830002,79.940002,79.310730,897500
2021-05-07,80.620003,81.809998,80.080002,80.709999,80.074669,829500
2021-05-10,80.050003,80.059998,77.410004,77.500000,76.889938,1025100
2021-05-11,74.489998,78.255997,74.419998,77.980003,77.366158,1236400
2021-05-12,76.650002,77.529999,75.000000,75.110001,74.518745,686500
2021-05-13,75.430000,76.775002,73.661003,74.470001,73.883789,982000
2021-05-14,75.339996,77.239998,75.111000,77.050003,76.443481,864800
2021-05-17,76.570000,77.000000,75.730003,76.720001,76.116074,842600
2021-05-18,77.070000,78.510002,76.680000,77.260002,76.651825,457200
2021-05-19,75.000000,76.919998,74.930000,76.760002,76.155762,482700
2021-05-20,77.425003,78.510002,77.425003,78.360001,77.743164,359300
2021-05-21,78.989998,79.300003,78.230003,78.330002,77.713402,329100
2021-05-24,78.430000,80.019997,78.199997,79.459999,78.834503,400000
2021-05-25,79.790001,80.690002,79.190002,79.720001,79.092461,496100
2021-05-26,80.080002,81.239998,80.010002,80.980003,80.342545,391400
2021-05-27,81.180000,81.610001,80.589996,81.540001,80.898132,357700
2021-05-28,81.699997,82.330002,81.308998,81.400002,80.759239,427700
2021-06-01,82.000000,82.750000,81.480003,82.019997,81.374352,309200
2021-06-02,81.980003,82.260002,81.690002,82.120003,81.473572,313400
2021-06-03,81.230003,81.669998,80.459999,80.650002,80.015137,361800
2021-06-04,81.040001,82.129997,81.040001,81.779999,81.136246,369200
2021-06-07,81.690002,81.989998,81.099998,81.959999,81.314827,261300
2021-06-08,82.570000,82.708000,81.153999,82.000000,81.354515,253200
2021-06-09,82.379997,82.379997,81.260002,81.379997,80.739388,312200
2021-06-10,81.300003,81.949997,81.000000,81.430000,80.789001,299400
2021-06-11,81.750000,81.750000,81.250000,81.599998,80.957657,318400
2021-06-14,81.930000,82.179001,81.389999,82.000000,81.354515,403700
2021-06-15,81.800003,82.089996,80.760002,81.029999,80.392143,291300
