Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,94.000000,94.000000,90.930000,91.599998,88.918327,3622700
2021-05-04,91.139999,91.139999,86.870003,88.480003,85.889664,5893000
2021-05-05,89.339996,89.559998,87.320000,88.430000,85.841125,3836900
2021-05-06,88.910004,90.010002,87.790001,89.989998,87.355461,3609400
2021-05-07,90.059998,91.980003,88.379997,91.559998,88.879501,4634900
2021-05-10,92.459999,92.500000,88.820000,89.989998,87.355461,4500400
2021-05-11,87.730003,89.120003,85.650002,86.760002,84.851768,5254500
2021-05-12,85.900002,86.699997,83.889999,84.410004,82.553459,3179100
2021-05-13,85.010002,87.769997,84.830002,87.129997,85.213631,3082500
2021-05-14,88.500000,99.070000,88.419998,97.970001,95.815208,9345400
2021-05-17,97.260002,106.220001,97.209999,104.230003,101.937531,10344500
2021-05-18,104.750000,105.150002,100.480003,101.169998,98.944832,4536000
2021-05-19,94.769997,99.919998,91.680000,99.559998,97.370232,4625400
2021-05-20,101.000000,102.000000,95.500000,96.820000,94.690498,3285700
2021-05-21,94.989998,96.540001,93.379997,93.919998,91.854286,3355000
2021-05-24,95.220001,99.599998,93.959999,98.150002,95.991257,3465600
2021-05-25,98.160004,98.430000,93.080002,93.500000,91.443520,3244700
2021-05-26,94.589996,96.809998,93.730003,96.790001,94.661163,2589400
2021-05-27,97.169998,98.000000,95.769997,96.430000,94.309082,3255200
2021-05-28,98.050003,98.050003,94.949997,95.750000,93.644043,2333600
2021-06-01,98.150002,98.870003,96.510002,98.250000,96.089050,2214800
2021-06-02,98.879997,100.389999,97.550003,98.029999,95.873894,2157200
2021-06-03,96.400002,97.989998,96.059998,97.570000,95.424004,1392000
2021-06-04,98.110001,99.510002,97.720001,99.120003,96.939919,1250000
2021-06-07,99.699997,99.739998,97.639999,98.650002,96.480247,1734400
2021-06-08,99.089996,101.190002,96.879997,100.830002,98.612312,3200600
2021-06-09,101.650002,101.650002,99.300003,99.330002,97.145302,2284700
2021-06-10,99.699997,100.150002,96.820000,97.459999,95.316422,2105200
2021-06-11,97.889999,99.349998,96.019997,96.769997,94.641602,2318400
2021-06-14,96.760002,97.010002,94.029999,94.660004,92.578018,2018700
2021-06-15,95.120003,95.699997,93.769997,93.940002,91.873856,1382800
2021-06-16,93.750000,94.269997,92.379997,92.690002,90.651344,1840000
2021-06-17,92.000000,92.570000,87.620003,88.820000,86.866455,3802900
2021-06-18,87.279999,87.870003,85.000000,85.300003,83.423882,4831700
2021-06-21,86.389999,86.669998,84.680000,85.309998,83.433647,2641800
2021-06-22,85.330002,85.360001,83.690002,84.500000,82.641479,2459800
2021-06-23,84.790001,85.989998,83.930000,84.760002,82.895767,2263600
2021-06-24,86.870003,86.870003,85.500000,86.389999,84.489899,2002700
2021-06-25,86.239998,87.699997,86.099998,86.500000,84.597488,1727900
2021-06-28,86.500000,87.110001,86.000000,86.209999,84.313866,1428500
2021-06-29,86.500000,87.820000,86.300003,87.680000,85.751534,1739600
2021-06-30,88.540001,88.800003,87.059998,87.930000,85.996033,1533600
2021-07-01,88.099998,88.389999,86.489998,86.620003,84.714844,1648800
2021-07-02,86.940002,87.169998,85.790001,87.029999,85.115822,1294800
2021-07-06,86.709999,87.610001,85.120003,85.629997,83.746620,1729100
2021-07-07,86.059998,88.070000,85.540001,87.820000,85.888458,2161800
2021-07-08,85.010002,87.980003,84.580002,86.500000,84.597488,1894300
2021-07-09,87.540001,88.610001,87.040001,87.959999,86.025368,1437000
2021-07-12,88.449997,89.430000,87.769997,88.980003,87.022942,1384200
2021-07-13,88.010002,89.300003,87.540001,88.500000,86.553497,1584100
2021-07-14,89.500000,90.330002,88.839996,89.620003,87.648857,1500100
2021-07-15,90.570000,90.720001,85.459999,86.150002,84.255180,2136300
2021-07-16,86.389999,86.989998,84.070000,84.459999,82.602348,1611900
2021-07-19,83.050003,84.440002,82.129997,84.290001,82.436089,1938100
2021-07-20,84.250000,86.010002,84.059998,85.489998,83.609703,2470500
2021-07-21,81.750000,83.989998,78.860001,82.599998,80.783257,6407600
2021-07-22,82.480003,83.830002,81.959999,83.139999,81.311386,2309900
2021-07-23,83.209999,85.599998,83.169998,85.480003,83.599915,2723200
2021-07-26,85.730003,87.300003,85.730003,86.269997,84.372536,2467300
2021-07-27,85.980003,86.059998,83.129997,85.180000,83.306519,2111700
2021-07-28,85.220001,87.059998,85.110001,86.599998,84.695290,1436900
2021-07-29,87.730003,87.730003,85.750000,87.199997,85.282082,1011200
2021-07-30,86.750000,88.949997,86.510002,87.900002,85.966690,3085100
2021-08-02,88.650002,89.269997,87.820000,88.500000,86.553497,2174100
2021-08-03,88.660004,91.099998,88.180000,90.419998,88.431267,1962200
2021-08-04,89.940002,90.379997,89.010002,89.320000,87.355461,1617100
2021-08-05,89.800003,91.110001,89.510002,90.900002,88.900711,1784000
2021-08-06,91.349998,93.180000,91.339996,92.150002,90.123215,1472100
2021-08-09,91.839996,93.129997,91.339996,92.519997,90.485077,1044400
2021-08-10,92.870003,93.779999,92.250000,92.769997,90.729576,1547200
2021-08-11,92.800003,94.290001,91.800003,94.129997,92.059669,1704500
2021-08-12,94.480003,94.480003,89.949997,90.830002,88.832253,2058700
2021-08-13,90.410004,91.750000,90.110001,90.339996,88.353020,1347400
2021-08-16,91.769997,92.389999,90.599998,90.709999,88.714890,1787400
2021-08-17,89.599998,91.150002,88.989998,90.209999,88.225891,1255600
2021-08-18,90.209999,90.839996,88.980003,89.029999,87.071838,1384200
2021-08-19,88.080002,88.790001,87.459999,88.139999,86.201416,1435100
2021-08-20,88.330002,89.519997,87.989998,89.440002,87.472824,1269800
2021-08-23,90.070000,92.339996,89.959999,91.660004,89.643997,1254900
2021-08-24,90.699997,91.160004,84.690002,86.070000,84.176941,5323300
2021-08-25,85.900002,89.529999,85.900002,86.889999,84.978912,3235600
2021-08-26,86.930000,87.199997,84.639999,84.739998,82.876198,2325000
2021-08-27,84.860001,87.099998,84.839996,86.309998,84.411667,1659000
2021-08-30,86.349998,87.269997,85.779999,86.839996,84.930008,1484200
2021-08-31,87.010002,88.230003,86.550003,87.589996,85.663513,1896900
2021-09-01,88.220001,88.220001,86.000000,87.190002,85.272308,2051900
2021-09-02,87.910004,89.599998,87.449997,89.500000,87.531494,1629000
2021-09-03,89.639999,90.750000,89.440002,90.320000,88.333458,1484600
2021-09-07,90.650002,90.800003,87.970001,88.059998,86.123177,1810500
2021-09-08,86.400002,86.430000,83.370003,84.330002,82.475220,3542800
2021-09-09,84.440002,88.599998,84.360001,87.339996,85.419006,4818400
2021-09-10,87.230003,88.000000,83.610001,83.919998,82.074234,3662700
2021-09-13,83.870003,84.790001,83.169998,83.940002,82.093796,1856000
2021-09-14,83.680000,84.980003,82.070000,82.730003,80.910408,2100000
2021-09-15,82.980003,84.389999,82.750000,84.349998,82.494774,1867000
2021-09-16,84.150002,86.010002,84.129997,84.820000,82.954437,1782600
2021-09-17,84.239998,85.180000,83.519997,83.739998,81.898193,4437200
2021-09-20,82.309998,83.040001,81.320000,82.949997,81.125557,2267000
2021-09-21,83.080002,83.150002,81.290001,81.570000,80.425522,1697600
2021-09-22,82.550003,83.919998,82.150002,82.940002,81.776306,1504700
2021-09-23,83.470001,85.750000,83.300003,85.040001,83.846840,1564500
2021-09-24,85.089996,86.260002,84.349998,86.080002,84.872253,1247600
2021-09-27,85.989998,88.239998,85.690002,86.910004,85.690613,1250200
2021-09-28,86.260002,87.010002,83.889999,84.199997,83.018623,2114400
2021-09-29,83.940002,84.489998,82.480003,83.099998,81.934059,1578800
2021-09-30,83.529999,83.730003,82.480003,82.519997,81.362198,1228400
2021-10-01,83.669998,85.019997,81.339996,84.410004,83.225677,1655500
2021-10-04,84.230003,85.709999,83.580002,84.139999,82.959465,2131600
2021-10-05,84.430000,85.779999,82.830002,85.150002,83.955299,2085000
2021-10-06,81.169998,81.949997,79.360001,80.610001,79.478996,4414100
2021-10-07,81.360001,82.629997,80.669998,81.779999,80.632584,2111200
2021-10-08,82.230003,82.550003,79.839996,79.930000,78.808533,1985700
2021-10-11,79.849998,82.220001,79.699997,81.629997,80.484688,2514400
2021-10-12,81.949997,82.099998,78.199997,79.010002,77.901443,2558100
2021-10-13,79.230003,80.300003,78.760002,79.570000,78.453590,1357400
2021-10-14,80.500000,83.489998,80.320000,82.500000,81.342476,2102600
2021-10-15,82.459999,83.300003,81.720001,81.989998,80.839638,1733200
2021-10-18,81.389999,82.209999,80.790001,81.239998,80.100151,1911800
2021-10-19,81.250000,81.510002,79.839996,81.120003,79.981842,2425500
2021-10-20,81.230003,82.190002,80.480003,80.529999,79.400116,1983200
2021-10-21,80.150002,82.250000,79.839996,82.239998,81.086121,2606300
2021-10-22,86.500000,88.970001,85.099998,87.230003,86.006111,5172600
2021-10-25,88.589996,89.870003,87.580002,89.160004,87.909035,3979600
2021-10-26,87.760002,89.000000,85.940002,88.070000,86.834328,3877500
2021-10-27,88.669998,89.000000,87.540001,88.029999,86.794884,2154400
2021-10-28,88.489998,89.989998,88.489998,89.550003,88.293571,1766100
2021-10-29,88.250000,89.540001,87.760002,89.070000,87.820297,2702300
2021-11-01,89.550003,93.250000,89.459999,91.900002,90.610596,2293400
